Регион;Частота;Коэф
Россия;17;0.33
Россия (кроме: Северный Кавказ);3;0.06
Краснодарский край;2;0.04
Сочи;2;0.04
Астраханская область;1;0.02
Астраханская область, Волгоградская область, Ростовская область;1;0.02
Волгоградская область;1;0.02
Воронежская область, Липецкая область, Волгоградская область, Краснодарский край, Ростовская область;1;0.02
Воронежская область, Нижегородская область, Пензенская область, Республика Татарстан, Самарская область, Саратовская область, Ульяновская область, Волгоградская область, Ростовская область;1;0.02
Краснодар;1;0.02
Краснодарский край, Республика Адыгея;1;0.02
Москва и область, Белгород, Воронежская область, Тамбов, Санкт-Петербург и Ленинградская область, Саратов, Юг (кроме: Республика Калмыкия), Республика Крым, Ставропольский край;1;0.02
Москва и область, Воронежская область, Липецкая область, Волгоградская область, Краснодарский край, Ростовская область;1;0.02
Москва и область, Краснодарский край, Республика Адыгея, Ростовская область, Республика Крым, Северный Кавказ, Абхазия, Донецк, Луганск;1;0.02
Москва и область, Санкт-Петербург, Ярославль, Краснодар, Ростов-на-Дону, Чебоксары, Киров, Нижний Новгород, Екатеринбург, Челябинск, Красноярск, Новосибирск, Саратов, Новочеркасск, Сочи, Дзержинск (Нижегородская область), Азов, Батайск, Новошахтинск, Шахты, Кирово-Чепецк, Асбест, Новоуральск, Первоуральск, Копейск, Озёрск, Чебаркуль, Южноуральск, Бердск, Железногорск, Искитим, Ревда, Белоярский, Верхняя Пышма, Полевской, Берёзовский (Свердловская область), Новочебоксарск, Тутаевский район, Белореченский район, Тимашевский район, Кстовский район, Павловский район, Марксовский район, Энгельсский район;1;0.02
Республика Адыгея;1;0.02
Республика Крым, Краснодарский край;1;0.02
Россия (кроме: Владивосток, Хабаровск);1;0.02
Россия (кроме: Дальний Восток);1;0.02
Россия (кроме: Москва и область);1;0.02
Россия (кроме: Москва и область, Санкт-Петербург и Ленинградская область, Ненецкий автономный округ, Республика Карелия, Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ);1;0.02
Россия (кроме: Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Карачаево-Черкесская Республика, Чеченская Республика, Республика Крым);1;0.02
Россия (кроме: Республика Крым);1;0.02
Россия (кроме: Республика Тыва, Северный Кавказ, Республика Крым), Ставропольский край;1;0.02
Россия (кроме: Центр);1;0.02
Россия, Абхазия, Южная Осетия;1;0.02
Россия, Беларусь;1;0.02
Россия, СНГ (исключая Россию);1;0.02
Россия, СНГ (исключая Россию) (кроме: Украина);1;0.02
Ростов-на-Дону;1;0.02
Ростовская область;1;0.02
СНГ (исключая Россию) (кроме: Украина), Россия;1;0.02
Санкт-Петербург и Ленинградская область, Белгородская область, Брянская область, Владимирская область, Воронежская область, Ивановская область, Калужская область, Костромская область, Курская область, Липецкая область, Орловская область, Рязанская область, Смоленская область, Тамбовская область, Тверская область, Тульская область, Ярославская область, Архангельская область, Вологодская область, Мурманская область, Новгородская область, Псковская область, Республика Карелия, Республика Коми, Астраханская область, Краснодарский край, Республика Адыгея, Республика Калмыкия, Ростовская область, Ставропольский край, Республика Марий Эл, Нижегородская область, Оренбургская область, Пензенская область, Пермский край, Республика Башкортостан, Республика Мордовия, Республика Татарстан, Самарская область, Саратовская область, Удмуртская Республика, Ульяновская область, Чувашская Республика, Красноярский край, Омская область;1;0.02
Юг;1;0.02
NA;1;0.02
