Домен;Регион;Частота;Коэф
spec.drom.ru;Краснодарский край;200;3.8
ironfield23.ru;Москва и область, Краснодарский край, Республика Адыгея, Ростовская область, Республика Крым, Северный Кавказ, Абхазия, Донецк, Луганск;129;2.5
am-volga.ru;Воронежская область, Нижегородская область, Пензенская область, Республика Татарстан, Самарская область, Саратовская область, Ульяновская область, Волгоградская область, Ростовская область;121;2.3
kat-russia.ru;Россия, Абхазия, Южная Осетия;108;2.1
wiweb.ru;Россия;69;1.3
katalog.kvidm.ru;Россия;64;1.2
rosagroleasing.ru;Россия;62;1.2
mtz-belarus.ru;Россия (кроме: Северный Кавказ);60;1.2
oren-mramor.ru;Россия;60;1.2
tractor.big-center.ru;Россия (кроме: Северный Кавказ);42;0.8
хам.рф;Россия;38;0.7
m-bitovka.ru;Сочи;37;0.7
perevozka24.ru;Россия;32;0.6
act.su;Москва и область, Воронежская область, Липецкая область, Волгоградская область, Краснодарский край, Ростовская область;28;0.5
vykup-spec-avto.ru;Республика Крым, Краснодарский край;23;0.4
yaVapteke.ru;Астраханская область;23;0.4
garden-shop.ru;Санкт-Петербург и Ленинградская область, Белгородская область, Брянская область, Владимирская область, Воронежская область, Ивановская область, Калужская область, Костромская область, Курская область, Липецкая область, Орловская область, Рязанская область, Смоленская область, Тамбовская область, Тверская область, Тульская область, Ярославская область, Архангельская область, Вологодская область, Мурманская область, Новгородская область, Псковская область, Республика Карелия, Республика Коми, Астраханская область, Краснодарский край, Республика Адыгея, Республика Калмыкия, Ростовская область, Ставропольский край, Республика Марий Эл, Нижегородская область, Оренбургская область, Пензенская область, Пермский край, Республика Башкортостан, Республика Мордовия, Республика Татарстан, Самарская область, Саратовская область, Удмуртская Республика, Ульяновская область, Чувашская Республика, Красноярский край, Омская область;22;0.4
ensign-tractors.ru;Воронежская область, Липецкая область, Волгоградская область, Краснодарский край, Ростовская область;17;0.3
rynok-apk.ru;Россия;17;0.3
caiman.ru;Юг;16;0.3
krasnodar.blizko.ru;Краснодар;15;0.3
zol.ru;Россия, СНГ (исключая Россию) (кроме: Украина);12;0.2
lovol-grand.ru;Россия (кроме: Центр);11;0.2
top-kredit.ru;Россия;9;0.2
NA;NA;8;0.2
rostov.hh.ru;Ростов-на-Дону;7;0.1
volgograd.economleasing.ru;Волгоградская область;7;0.1
nemodellmix.su;Россия;6;0.1
niva-expo.ru;Москва и область, Белгород, Воронежская область, Тамбов, Санкт-Петербург и Ленинградская область, Саратов, Юг (кроме: Республика Калмыкия), Республика Крым, Ставропольский край;5;0.1
DboRu.ru;Россия;4;0.1
agrotech.expoperm.ru;Россия, Беларусь;4;0.1
bbaza.ru;Россия;4;0.1
rosbank-leasing.ru;Россия (кроме: Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Карачаево-Черкесская Республика, Чеченская Республика, Республика Крым);4;0.1
агропоинт.рф;Россия;4;0.1
1express-credit.ru;Россия (кроме: Республика Крым);3;0.1
adr-analytics.ru;Россия;3;0.1
donjurist.ru;Ростовская область;3;0.1
otelz.com;Россия;3;0.1
pochtabank.ru;Россия (кроме: Республика Тыва, Северный Кавказ, Республика Крым), Ставропольский край;3;0.1
s918787.lpmotortest.com;Россия (кроме: Москва и область);3;0.1
vcredit-zenit.ru;Сочи;3;0.1
deltaleasing.ru;Астраханская область, Волгоградская область, Ростовская область;2;0
equipnet.ru;Россия;2;0
rostov.zol.ru;СНГ (исключая Россию) (кроме: Украина), Россия;2;0
ttz-ural.ru;Россия (кроме: Северный Кавказ);2;0
b4y.by;Россия, СНГ (исключая Россию);1;0
deltaleasing.ru;Краснодарский край, Республика Адыгея;1;0
krasnodar.vodoparad.ru;Краснодарский край;1;0
lovol-grand.ru;Россия;1;0
perevozka24.ru;Республика Адыгея;1;0
vt-tk.ru;Россия (кроме: Владивосток, Хабаровск);1;0
wildberries.ru;Россия (кроме: Дальний Восток);1;0
yuprofi.ru;Москва и область, Санкт-Петербург, Ярославль, Краснодар, Ростов-на-Дону, Чебоксары, Киров, Нижний Новгород, Екатеринбург, Челябинск, Красноярск, Новосибирск, Саратов, Новочеркасск, Сочи, Дзержинск (Нижегородская область), Азов, Батайск, Новошахтинск, Шахты, Кирово-Чепецк, Асбест, Новоуральск, Первоуральск, Копейск, Озёрск, Чебаркуль, Южноуральск, Бердск, Железногорск, Искитим, Ревда, Белоярский, Верхняя Пышма, Полевской, Берёзовский (Свердловская область), Новочебоксарск, Тутаевский район, Белореченский район, Тимашевский район, Кстовский район, Павловский район, Марксовский район, Энгельсский район;1;0
играман.рф;Россия;1;0
смп61.рф;Россия (кроме: Москва и область, Санкт-Петербург и Ленинградская область, Ненецкий автономный округ, Республика Карелия, Ханты-Мансийский автономный округ - Югра, Ямало-Ненецкий автономный округ);1;0
