№;Слова однословные;Частота однословные;Слова биграммы;Частота биграммы
1;трактор;23;купить трактор;6
2;купить;13;мини трактор;6
3;тракторы;13;рынок апк;5
4;лизинг;11;трактор мтз;5
5;мини;8;агроплощадке рынок;4
6;кредит;7;runmax rmx;3
7;купите;7;выгодно трактор;3
8;мтз;6;колесные тракторы;3
9;runmax;5;купите мини;3
10;апк;5;купить новые;3
11;б;5;выгодной цене;2
12;новые;5;выгодных условиях;2
13;рынок;5;купите минитрактор;2
14;агроплощадке;4;купить бизнес;2
15;выгодно;4;лизинг runmax;2
16;ип;4;мини тракторы;2
17;продайте;4;мтз беларус;2
18;rmx;3;продажа оборудования;2
19;беларус;3;продайте быстро;2
20;быстро;3;продайте выгодно;2
21;китайские;3;садовый трактор;2
22;колесные;3;трактор runmax;2
23;минитрактор;3;24 7;1
24;оборудования;3;31р 1шт;1
25;продажа;3;701 трактор;1
26;садовый;3;754 выгода;1
27;сельхозтехника;3;9.900 р;1
28;трактора;3;basak 2080;1
29;цене;3;caiman dako;1
30;basak;2;delafon sherwood;1
31;caiman;2;ensign хорошие;1
32;lovol;2;jacob delafon;1
33;банке;2;lovol tb;1
34;бизнес;2;runmax купить;1
35;выгодной;2;runmax лизинг;1
36;выгодных;2;tb 754;1
37;выкуп;2;xxiii агропромышленная;1
38;выставка;2;агропромышленная выставка;1
39;займы;2;агротехнологии 2023;1
40;краснодаре;2;анализ компании;1
41;лиц;2;ао росагролизинг;1
42;модели;2;банк делайте;1
43;недорого;2;банке зенит;1
44;оборудование;2;беларус 320;1
45;онлайн;2;бесплатная доставка;1
46;почта;2;бесплатных объявлений;1
47;производство;2;бизнес анализ;1
48;товаров;2;бу новое;1
49;тракторов;2;быстро трактор;1
50;условиях;2;ванной jacob;1
51;цены;2;выгода 180000р;1
52;0;1;выгодные условия;1
53;180000р;1;выгодный кредит;1
54;1шт;1;выкуп спецтехники;1
55;20;1;выкуп тракторов;1
56;2023;1;выставка агротехнологии;1
57;2080;1;группа компаний;1
58;24;1;делайте ставку;1
59;30;1;дешевый мини;1
60;31р;1;дизельный caiman;1
61;320;1;доска бесплатных;1
62;7;1;доставка продуктов;1
63;701;1;завод отопительного;1
64;754;1;кат официальный;1
65;8;1;керамзитоблоки стоимость;1
66;9.900;1;китайские колесные;1
67;dako;1;китайские трактора;1
68;delafon;1;китайские тракторы;1
69;ensign;1;компаний попова;1
70;jacob;1;краснодарском крае;1
71;otelz.com;1;кредиты онлайн;1
72;sherwood;1;купите дешевый;1
