Слова;Частота;№
трактор;23;1
купить;13;2
тракторы;13;3
лизинг;11;4
мини;8;5
кредит;7;6
купите;7;7
мтз;6;8
runmax;5;9
апк;5;10
б;5;11
новые;5;12
рынок;5;13
агроплощадке;4;14
выгодно;4;15
ип;4;16
продайте;4;17
rmx;3;18
беларус;3;19
быстро;3;20
китайские;3;21
колесные;3;22
минитрактор;3;23
оборудования;3;24
продажа;3;25
садовый;3;26
сельхозтехника;3;27
трактора;3;28
цене;3;29
basak;2;30
caiman;2;31
lovol;2;32
банке;2;33
бизнес;2;34
выгодной;2;35
выгодных;2;36
выкуп;2;37
выставка;2;38
займы;2;39
краснодаре;2;40
лиц;2;41
модели;2;42
недорого;2;43
оборудование;2;44
онлайн;2;45
почта;2;46
производство;2;47
товаров;2;48
тракторов;2;49
условиях;2;50
цены;2;51
0;1;52
180000р;1;53
1шт;1;54
20;1;55
2023;1;56
2080;1;57
24;1;58
30;1;59
31р;1;60
320;1;61
7;1;62
701;1;63
754;1;64
8;1;65
9.900;1;66
dako;1;67
delafon;1;68
ensign;1;69
jacob;1;70
otelz.com;1;71
sherwood;1;72
tb;1;73
xxiii;1;74
yavaptekeru;1;75
автомобилей;1;76
агропромышленная;1;77
агротехнологии;1;78
акция;1;79
анализ;1;80
ао;1;81
банк;1;82
бесплатная;1;83
бесплатных;1;84
бу;1;85
ванной;1;86
выгода;1;87
выгодные;1;88
выгодный;1;89
выгодой;1;90
группа;1;91
делайте;1;92
дешевый;1;93
дизельный;1;94
диллер;1;95
доска;1;96
доставка;1;97
завод;1;98
запчасти;1;99
зенит;1;100
кат;1;101
керамзитоблоки;1;102
кировец;1;103
компании;1;104
компаний;1;105
крае;1;106
краснодарском;1;107
кредитов;1;108
кредиты;1;109
купля;1;110
лекарства;1;111
лицам;1;112
любые;1;113
магазин;1;114
майкопе;1;115
масштабные;1;116
мебель;1;117
минитрактора;1;118
минский;1;119
модель;1;120
мраморные;1;121
навесная;1;122
навесное;1;123
надежные;1;124
насосов;1;125
низкой;1;126
новое;1;127
оао;1;128
объявлений;1;129
одежды;1;130
одном;1;131
отопительного;1;132
официальный;1;133
памятники;1;134
перевозка;1;135
площадке;1;136
покупка;1;137
покупкой;1;138
получении;1;139
помощь;1;140
попова;1;141
предоставим;1;142
продается;1;143
продай;1;144
продуктов;1;145
р;1;146
работ;1;147
раковины;1;148
редукторов;1;149
росагролизинг;1;150
росбанк;1;151
россии;1;152
ростове;1;153
сайте;1;154
сельскохозяйственных;1;155
сельхозпродукты;1;156
сельхозтехники;1;157
сервис;1;158
скидкой;1;159
спецтехника;1;160
спецтехники;1;161
списание;1;162
срочные;1;163
ставку;1;164
станислав;1;165
стоимость;1;166
транспорт;1;167
требуется;1;168
турецкие;1;169
турецкий;1;170
уборки;1;171
условия;1;172
физ;1;173
хам;1;174
хорошие;1;175
хотите;1;176
цели;1;177
шестерен;1;178
щетка;1;179
юр;1;180
юридических;1;181
юрлиц;1;182
NA;1;183
