Date,AdNetworkType,CampaignName,CampaignType,AdGroupName,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,5.65,1,0,0,10.64,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - virto,0.69,1,0,0,7.95,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens - motion,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,11.47,1,2,1,52.29,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 312,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 675,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - bolero,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - naida,2.37,1,2,0,65.16,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - sky,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens - motion,6.49,1,0,0,27.66,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,97.25,13,39,14,861.78,1,1,0,0,0,0,0,0,1,1
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,1.07,1,6,4,91.21,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,29.1,6,21,6,511.32,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
