Date,AdNetworkType,CampaignName,AdGroupName,AdFormat,AdId,Slot,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC,TextAdTitle,TextAdTitle2,TextAdText,TextAdHref
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,TEXT,14430280299,PREMIUMBLOCK,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Marvel,Медцентр МастерСлух™,Слуховые аппараты Phonak для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/slukhovye-apparaty-marvel/
2023-06-27,SEARCH,[поиск] Бренд. ТГ,--,TEXT,--,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-06-27,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395290,ALONE,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых с любой степенью потери слуха. Выбирайте.,https://mastersluh-krasnodar.ru/
2023-06-27,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395290,PREMIUMBLOCK,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых с любой степенью потери слуха. Выбирайте.,https://mastersluh-krasnodar.ru/
2023-06-27,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395292,OTHER,1,1,0,0,10.64,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,260 моделей. Бесплатная настройка. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-27,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395293,OTHER,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-27,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395293,PREMIUMBLOCK,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens,TEXT,14382201681,SUGGEST,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Siemens,Медцентр МастерСлух™,Слуховые аппараты Siemens для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/signia-siemens/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,TEXT,14430280298,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Marvel,Медцентр МастерСлух™,Швейцарское качество аппаратов Phonak. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/slukhovye-apparaty-marvel/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,TEXT,14430280299,OTHER,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Marvel,Медцентр МастерСлух™,Слуховые аппараты Phonak для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/slukhovye-apparaty-marvel/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,TEXT,14430280299,PREMIUMBLOCK,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Marvel,Медцентр МастерСлух™,Слуховые аппараты Phonak для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/slukhovye-apparaty-marvel/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - virto,TEXT,14430280325,PREMIUMBLOCK,0.69,1,0,0,7.95,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Virto,Медцентр МастерСлух™,Современные технологии и швейцарское качество аппаратов Phonak. Узнайте большей,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/phonak/virto/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens - motion,TEXT,14430280337,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Siemens Motion,Медцентр МастерСлух™,Немецкое качество аппаратов Siemens. Один из ведущих производителей. Выбирайте,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/signia-siemens/siemens-motion/
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens - motion,TEXT,14430280338,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Siemens Motion,Медцентр МастерСлух™,Подберем аппарат Siemens нужной мощности для ребёнка и взрослого. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/signia-siemens/siemens-motion/
2023-06-28,SEARCH,[поиск] Бренд. ТГ,--,TEXT,--,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-06-28,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395290,PREMIUMBLOCK,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых с любой степенью потери слуха. Выбирайте.,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395292,OTHER,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,260 моделей. Бесплатная настройка. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395293,OTHER,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395293,PREMIUMBLOCK,7.66,1,2,1,52.29,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Слуховые аппараты для детей и взрослых. Узнайте больше.,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Бренд. ТГ,мастерслух,TEXT,14432395294,OTHER,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,МастерСлух™ официальный сайт,Медцентры в Краснодаре,Бесплатная настройка слухового аппарата в течение года. Узнайте больше!,https://mastersluh-krasnodar.ru/
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,батарейки 312,TEXT,14463722249,PREMIUMBLOCK,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Батарейки для слуховых аппаратов тип 312,"Phonak, Siemens, Widex, Signia","В наличии батарейки 10, 13, 312, 675 в упаковках по 6 шт. Только проверенные бренды",https://mastersluh-krasnodar.ru/product/aksessuary-dlya-slukhovykh-apparatov/batareyki-dlya-slukhovykh-apparatov/312/
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,батарейки 675,TEXT,14463722258,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Батарейки тип 675,для слуховых аппаратов,"В наличии батарейки 10, 13, 312, 675. В упаковке 6 шт.",https://mastersluh-krasnodar.ru/product/aksessuary-dlya-slukhovykh-apparatov/batareyki-dlya-slukhovykh-apparatov/675/
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,батарейки 675,TEXT,14463722259,PREMIUMBLOCK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Батарейки тип 675,для слуховых аппаратов,Скидки до 33%. Быстрая доставка курьером.,https://mastersluh-krasnodar.ru/product/aksessuary-dlya-slukhovykh-apparatov/batareyki-dlya-slukhovykh-apparatov/675/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,--,TEXT,--,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens,TEXT,14382201681,PREMIUMBLOCK,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Siemens,Медцентр МастерСлух™,Слуховые аппараты Siemens для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/signia-siemens/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - bolero,TEXT,14430280307,PREMIUMBLOCK,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Bolero,Медцентр МастерСлух™,Современные технологии и швейцарское качество аппаратов Phonak. Узнайте большей,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/phonak/bolero/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - naida,TEXT,14430280316,PREMIUMBLOCK,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Naida,Медцентр МастерСлух™,Швейцарское качество аппаратов Phonak. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/phonak/naida/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - naida,TEXT,14430280317,PREMIUMBLOCK,1.1,1,2,0,65.16,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Naida,Медцентр МастерСлух™,Слуховые аппараты Phonak для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/phonak/naida/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - sky,TEXT,14430280323,PREMIUMBLOCK,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Phonak Sky,Медцентр МастерСлух™,Слуховые аппараты Phonak для детей и взрослых. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/phonak/sky/
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens - motion,TEXT,14430280340,PREMIUMBLOCK,3.94,1,0,0,27.66,0,0,0,0,0,0,0,0,0,0,Слуховые аппараты Siemens Motion,Медцентр МастерСлух™,Немецкое качество Siemens. Бесплатная настройка. Узнайте больше,https://mastersluh-krasnodar.ru/product/slukhovye-apparaty/signia-siemens/siemens-motion/
