AdNetworkType,AdId,ClickType
AD_NETWORK,14848476268,BUTTON
AD_NETWORK,14848476268,PROMO_EXTENSION
AD_NETWORK,14848476268,SITELINK1
AD_NETWORK,14848476268,SITELINK2
AD_NETWORK,14848476268,TITLE
AD_NETWORK,14848476268,UNKNOWN
AD_NETWORK,14848573547,BUTTON
AD_NETWORK,14848573547,PROMO_EXTENSION
AD_NETWORK,14848573547,SITELINK1
AD_NETWORK,14848573547,SITELINK2
AD_NETWORK,14848573547,SITELINK3
AD_NETWORK,14848573547,SITELINK4
AD_NETWORK,14848573547,TITLE
AD_NETWORK,14848573547,UNKNOWN
AD_NETWORK,14848885048,TITLE
AD_NETWORK,14848885048,UNKNOWN
AD_NETWORK,14848885049,TITLE
AD_NETWORK,14848885049,UNKNOWN
AD_NETWORK,14848885050,TITLE
AD_NETWORK,14848885050,UNKNOWN
AD_NETWORK,14849015310,BUTTON
AD_NETWORK,14849015310,PROMO_EXTENSION
AD_NETWORK,14849015310,SITELINK1
AD_NETWORK,14849015310,SITELINK2
AD_NETWORK,14849015310,SITELINK3
AD_NETWORK,14849015310,TITLE
AD_NETWORK,14849015310,UNKNOWN
SEARCH,14381723459,TITLE
SEARCH,14381723459,UNKNOWN
SEARCH,14381745547,TITLE
SEARCH,14381745547,UNKNOWN
SEARCH,14382201671,SITELINK1
SEARCH,14382201671,SITELINK2
SEARCH,14382201671,TITLE
SEARCH,14382201671,UNKNOWN
SEARCH,14382201672,UNKNOWN
SEARCH,14382201673,SITELINK1
SEARCH,14382201673,TITLE
SEARCH,14382201673,UNKNOWN
SEARCH,14382201674,SITELINK1
SEARCH,14382201674,SITELINK3
SEARCH,14382201674,TITLE
SEARCH,14382201674,UNKNOWN
SEARCH,14382201675,SITELINK3
SEARCH,14382201675,TITLE
SEARCH,14382201675,UNKNOWN
SEARCH,14382201676,SITELINK1
SEARCH,14382201676,TITLE
SEARCH,14382201676,UNKNOWN
SEARCH,14382201677,TITLE
SEARCH,14382201677,UNKNOWN
SEARCH,14382201678,TITLE
SEARCH,14382201678,UNKNOWN
SEARCH,14382201679,TITLE
SEARCH,14382201679,UNKNOWN
SEARCH,14382201680,TITLE
SEARCH,14382201680,UNKNOWN
SEARCH,14382201681,SITELINK1
SEARCH,14382201681,SITELINK2
SEARCH,14382201681,SITELINK3
SEARCH,14382201681,SITELINK4
SEARCH,14382201681,TITLE
SEARCH,14382201681,UNKNOWN
SEARCH,14382201682,TITLE
SEARCH,14382201682,UNKNOWN
SEARCH,14382201689,TITLE
SEARCH,14382201689,UNKNOWN
SEARCH,14382201690,TITLE
SEARCH,14382201690,UNKNOWN
SEARCH,14382201692,TITLE
SEARCH,14382201692,UNKNOWN
SEARCH,14382201693,SITELINK4
SEARCH,14382201693,TITLE
SEARCH,14382201693,UNKNOWN
SEARCH,14382201694,TITLE
SEARCH,14382201694,UNKNOWN
SEARCH,14430280278,TITLE
SEARCH,14430280278,UNKNOWN
SEARCH,14430280279,UNKNOWN
SEARCH,14430280280,TITLE
SEARCH,14430280280,UNKNOWN
SEARCH,14430280281,TITLE
SEARCH,14430280281,UNKNOWN
SEARCH,14430280283,UNKNOWN
SEARCH,14430280284,UNKNOWN
SEARCH,14430280285,UNKNOWN
SEARCH,14430280286,UNKNOWN
SEARCH,14430280290,TITLE
