Date,CampaignId,CampaignName,AdGroupName,CriterionType,MatchType,TargetingCategory,Criterion,Query,Cost,WeightedImpressions,Clicks,Bounces,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC
2023-06-27,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,KEYWORD,KEYWORD,ALTERNATIVE,phonak marvel,phonak audeo marvel,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки,мастер слух,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки,мастер слух медцентр клиника,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастерслух -аккамуляторы -батарейки,мастерслух медцентр клиника,10.64,1,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,BROADER,мастерслух -аккамуляторы -батарейки,медицинский центр мастерслух,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,BROADER,мастерслух -аккамуляторы -батарейки,медицинский центр мастерслух на красной,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens,KEYWORD,KEYWORD,EXACT,слуховой аппарат сименс -заушные -купить -цена -цифровой,слуховой аппарат сименс,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - audeo - marvel,KEYWORD,KEYWORD,UNKNOWN,phonak marvel,почему phonak audeo marvel нельзя использовать детям,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,phonak - virto,KEYWORD,KEYWORD,ALTERNATIVE,phonak virto,phonak virto v50 nano,7.95,0.69,1,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens - motion,KEYWORD,KEYWORD,EXACT,siemens motion,siemens motion connect 500,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89167533,[поиск] Слуховые аппараты. Вендоры. ТГ,siemens - motion,KEYWORD,KEYWORD,EXACT,siemens motion,siemens motion connect 500 cav00500834,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,AUTOTARGETING,NONE,EXACT,---autotargeting,аудиограмма слуха цена краснодар,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,BROADER,мастер слух -аккамуляторы -батарейки,мастер слух,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки,мастер слух,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки -новороссийск,мастер слух,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки -новороссийск,мастер слух адлер,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки,мастер слух армавир,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,COMPETITOR,мастер слух -аккамуляторы -батарейки -новороссийск,мастер слух армавир,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,89440325,[поиск] Бренд. ТГ,мастерслух,KEYWORD,KEYWORD,UNKNOWN,мастер слух -аккамуляторы -батарейки,мастер слух железнодорожная 2 1,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0
