Date,AdNetworkType,CampaignName,LocationOfPresenceName,Device,Gender,Age,IncomeGrade,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,HIGH,1,1,0,0,10.64,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_45_54,OTHER,0.69,1,0,0,7.95,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,ABOVE_AVERAGE,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_45_54,OTHER,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Майкоп,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_45_54,OTHER,1.01,1,2,1,52.29,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_35_44,OTHER,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,Новороссийск,DESKTOP,GENDER_MALE,AGE_55,OTHER,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,ABOVE_AVERAGE,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,2.37,1,2,0,65.16,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,OTHER,9.31,1,0,0,27.66,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,UNKNOWN,UNKNOWN,OTHER,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Армавир,MOBILE,GENDER_MALE,AGE_25_34,HIGH,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_25_34,OTHER,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,OTHER,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_18_24,OTHER,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_25_34,OTHER,2.89,2,5,3,95.26,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,OTHER,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,10.95,2,5,3,180.9,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,HIGH,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,11.75,4,17,10,246.7,1,1,0,0,0,0,0,0,1,1
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,VERY_HIGH,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
