AdId,ClickType
14381723459,TITLE
14381723459,UNKNOWN
14381745547,TITLE
14381745547,UNKNOWN
14382201671,SITELINK1
14382201671,TITLE
14382201671,UNKNOWN
14382201672,UNKNOWN
14382201673,SITELINK1
14382201673,TITLE
14382201673,UNKNOWN
14382201674,TITLE
14382201674,UNKNOWN
14382201675,SITELINK3
14382201675,UNKNOWN
14382201676,SITELINK1
14382201676,TITLE
14382201676,UNKNOWN
14382201677,TITLE
14382201677,UNKNOWN
14382201678,TITLE
14382201678,UNKNOWN
14382201679,TITLE
14382201679,UNKNOWN
14382201680,TITLE
14382201680,UNKNOWN
14382201681,SITELINK1
14382201681,SITELINK2
14382201681,SITELINK3
14382201681,SITELINK4
14382201681,TITLE
14382201681,UNKNOWN
14382201682,TITLE
14382201682,UNKNOWN
14382201689,UNKNOWN
14382201690,TITLE
14382201690,UNKNOWN
14382201692,TITLE
14382201692,UNKNOWN
14382201693,SITELINK4
14382201693,TITLE
14382201693,UNKNOWN
14382201694,TITLE
14382201694,UNKNOWN
14430280279,UNKNOWN
14430280281,TITLE
14430280281,UNKNOWN
14430280284,UNKNOWN
14430280285,UNKNOWN
14430280286,UNKNOWN
14430280290,TITLE
14430280290,UNKNOWN
14430280295,UNKNOWN
14430280297,TITLE
14430280297,UNKNOWN
14430280298,TITLE
14430280298,UNKNOWN
14430280299,UNKNOWN
14430280301,UNKNOWN
14430280304,TITLE
14430280304,UNKNOWN
14430280307,TITLE
14430280307,UNKNOWN
14430280309,SITELINK1
14430280309,TITLE
14430280309,UNKNOWN
14430280310,TITLE
14430280310,UNKNOWN
14430280311,UNKNOWN
14430280312,UNKNOWN
14430280313,TITLE
14430280313,UNKNOWN
14430280315,TITLE
14430280315,UNKNOWN
14430280316,UNKNOWN
14430280317,TITLE
14430280317,UNKNOWN
14430280319,TITLE
14430280319,UNKNOWN
14430280322,UNKNOWN
14430280323,UNKNOWN
14430280324,UNKNOWN
14430280325,TITLE
14430280325,UNKNOWN
14430280332,UNKNOWN
14430280334,SITELINK1
14430280334,UNKNOWN
14430280335,TITLE
14430280335,UNKNOWN
14430280336,TITLE
14430280336,UNKNOWN
14430280337,UNKNOWN
14430280338,UNKNOWN
14430280339,UNKNOWN
14430280340,TITLE
14430280340,UNKNOWN
14430280341,TITLE
14430280341,UNKNOWN
14430280342,UNKNOWN
14430280344,TITLE
14430280344,UNKNOWN
14430280346,TITLE
14430280346,UNKNOWN
14430280347,TITLE
14430280347,UNKNOWN
14430280379,TITLE
14430280379,UNKNOWN
14430280380,TITLE
14430280380,UNKNOWN
14430280381,UNKNOWN
14430280382,UNKNOWN
14431553797,TITLE
14431553797,UNKNOWN
14431553799,TITLE
14431553799,UNKNOWN
14431553806,SITELINK1
14431553806,TITLE
14431553806,UNKNOWN
14432395277,TITLE
14432395277,UNKNOWN
14432395278,UNKNOWN
14432395280,TITLE
14432395280,UNKNOWN
14432395281,TITLE
14432395281,UNKNOWN
14432395282,UNKNOWN
14432395286,UNKNOWN
14432395287,UNKNOWN
14432395289,TITLE
14432395289,UNKNOWN
14432395290,TITLE
14432395290,UNKNOWN
14432395292,TITLE
14432395292,UNKNOWN
14432395293,TITLE
14432395293,UNKNOWN
14432395294,TITLE
14432395294,UNKNOWN
14432395295,SITELINK1
14432395295,SITELINK2
14432395295,TITLE
14432395295,UNKNOWN
14432395296,PHONE
14432395296,SITELINK3
14432395296,SITELINK4
14432395296,TITLE
14432395296,UNKNOWN
14448493922,TITLE
14448493922,UNKNOWN
14448493923,TITLE
14448493923,UNKNOWN
14448493924,TITLE
14448493924,UNKNOWN
14448493925,TITLE
14448493925,UNKNOWN
14448510839,SITELINK2
14448510839,SITELINK4
14448510839,SITELINK8
14448510839,TITLE
14448510839,UNKNOWN
14448510840,TITLE
14448510840,UNKNOWN
14448510841,TITLE
14448510841,UNKNOWN
14448510842,SITELINK2
14448510842,SITELINK3
14448510842,TITLE
14448510842,UNKNOWN
14448510843,SITELINK2
14448510843,TITLE
14448510843,UNKNOWN
14448510844,SITELINK2
14448510844,TITLE
14448510844,UNKNOWN
14448716929,UNKNOWN
14448823044,SITELINK4
14448823044,UNKNOWN
14462238674,TITLE
14462238674,UNKNOWN
14462238676,TITLE
14462238676,UNKNOWN
14462238678,TITLE
14462238678,UNKNOWN
14462238680,SITELINK2
14462238680,TITLE
14462238680,UNKNOWN
14462238687,TITLE
14462238687,UNKNOWN
14462238689,UNKNOWN
14462238691,TITLE
14462238691,UNKNOWN
14463722236,UNKNOWN
14463722237,UNKNOWN
14463722238,UNKNOWN
14463722242,TITLE
14463722242,UNKNOWN
14463722243,TITLE
14463722243,UNKNOWN
14463722244,UNKNOWN
14463722245,TITLE
14463722245,UNKNOWN
14463722246,TITLE
14463722246,UNKNOWN
14463722247,SITELINK3
14463722247,TITLE
14463722247,UNKNOWN
14463722248,UNKNOWN
14463722249,UNKNOWN
14463722251,UNKNOWN
14463722252,UNKNOWN
14463722253,TITLE
14463722253,UNKNOWN
14463722255,TITLE
14463722255,UNKNOWN
14463722257,TITLE
14463722257,UNKNOWN
14463722258,TITLE
14463722258,UNKNOWN
14463722259,TITLE
14463722259,UNKNOWN
14463722266,UNKNOWN
14463722269,UNKNOWN
14463722270,UNKNOWN
14669343467,SITELINK1
14669343467,TITLE
14669343467,UNKNOWN
14669343468,TITLE
14669343468,UNKNOWN
14669343469,TITLE
14669343469,UNKNOWN
14669343470,SITELINK1
14669343470,SITELINK2
14669343470,SITELINK7
14669343470,TITLE
14669343470,UNKNOWN
14669343471,SITELINK1
14669343471,SITELINK3
14669343471,TITLE
14669343471,UNKNOWN
14669343472,TITLE
14669343472,UNKNOWN
14731111897,SITELINK1
14731111897,TITLE
14731111897,UNKNOWN
14731111898,SITELINK1
14731111898,SITELINK7
14731111898,TITLE
14731111898,UNKNOWN
14731111899,SITELINK1
14731111899,TITLE
14731111899,UNKNOWN
14731111900,PHONE
14731111900,PROMO_EXTENSION
14731111900,SITELINK1
14731111900,SITELINK2
14731111900,TITLE
14731111900,UNKNOWN
14731111901,SITELINK1
14731111901,TITLE
14731111901,UNKNOWN
14731111902,SITELINK3
14731111902,TITLE
14731111902,UNKNOWN
14731111903,UNKNOWN
14731111904,UNKNOWN
14731111905,TITLE
14731111905,UNKNOWN
14731111906,UNKNOWN
14731111907,UNKNOWN
14731111908,UNKNOWN
14731111909,TITLE
14731111909,UNKNOWN
14731111910,TITLE
14731111910,UNKNOWN
14731111911,TITLE
14731111911,UNKNOWN
14731111912,TITLE
14731111912,UNKNOWN
14731111913,TITLE
14731111913,UNKNOWN
14731111914,TITLE
14731111914,UNKNOWN
14731111916,UNKNOWN
14731111918,UNKNOWN
14731111922,UNKNOWN
14731111923,UNKNOWN
14731111924,TITLE
14731111924,UNKNOWN
14731111925,TITLE
14731111925,UNKNOWN
14731111927,PHONE
14731111927,TITLE
14731111927,UNKNOWN
14731111928,TITLE
14731111928,UNKNOWN
14731111929,SITELINK1
14731111929,UNKNOWN
14731111931,UNKNOWN
14731111932,TITLE
14731111932,UNKNOWN
14731111934,UNKNOWN
14731111937,UNKNOWN
14731111938,UNKNOWN
14731111942,TITLE
14731111942,UNKNOWN
14731111944,UNKNOWN
14731111945,UNKNOWN
14731111948,SITELINK1
14731111948,UNKNOWN
14731111949,UNKNOWN
14731111950,TITLE
14731111950,UNKNOWN
14731111951,SITELINK1
14731111951,UNKNOWN
14731111952,TITLE
14731111952,UNKNOWN
14731111953,UNKNOWN
14731111954,TITLE
14731111954,UNKNOWN
14731111956,UNKNOWN
14767708059,UNKNOWN
14767708061,TITLE
14767708061,UNKNOWN
14767708063,TITLE
14767708063,UNKNOWN
14767708064,TITLE
14767708064,UNKNOWN
14847936718,UNKNOWN
14848476268,UNKNOWN
14848573547,UNKNOWN
14848759066,UNKNOWN
14848885048,UNKNOWN
14848885050,UNKNOWN
14849015310,UNKNOWN
