Date,AdNetworkType,CampaignName,CampaignType,AdGroupName,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Conversions_301649121_FCCD,Conversions_301649121_AUTO,Conversions_301314275_FCCD,Conversions_301314275_AUTO,Conversions_301313194_FCCD,Conversions_301313194_AUTO,Conversions_301315472_FCCD,Conversions_301315472_AUTO
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,0.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,5.65,1,0,0,10.64,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,1.02,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - virto,0.69,1,0,0,7.95,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens - motion,0.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,11.47,1,2,1,52.29,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 312,0.8,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 675,1.08,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,2.82,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - bolero,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - naida,2.37,1,2,0,65.16,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - sky,1.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens - motion,6.49,1,0,0,27.66,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,97.25,13,39,14,861.78,1,1,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,1.07,1,6,4,91.21,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 13,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,29.1,6,21,6,511.32,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - audeo - marvel,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - baseo,0.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - naida,3.59,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,signia - motion,1.02,1,1,0,82.01,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,ремаркетинг - widex,1.18,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-30,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,мастерслух,24.22,6,15,4,345.65,--,1,--,--,--,--,1,1
2023-06-30,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки,1.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak,1.92,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,28.57,4,12,8,173.79,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,3.81,1,0,0,86.89,--,--,--,--,--,--,--,--
2023-07-01,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 675,4.13,3,8,2,168.19,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak,3.03,1,2,0,60.19,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,23.15,5,7,3,712.78,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - naida,1.03,1,4,0,125.4,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-02,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки,2.48,1,2,0,64.2,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak,10.38,2,7,3,147.44,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,36.99,6,16,6,719.29,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak - bolero,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,5.71,1,1,0,173.43,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки,1.12,1,2,0,65.33,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 13,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-03,SEARCH,[поиск] Батарейки. ТГ,TEXT_CAMPAIGN,батарейки 312,0.84,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,phonak,4.76,1,4,2,41.19,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT_CAMPAIGN,siemens,18.78,5,14,0,437.23,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,DYNAMIC_TEXT_CAMPAIGN,--,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,DYNAMIC_TEXT_CAMPAIGN,слуховые аппараты,103.36,2,8,0,240.38,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[галерея] Фид. ДО,DYNAMIC_TEXT_CAMPAIGN,батарейки,1.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-07-04,SEARCH,[поиск] Бренд. ТГ,TEXT_CAMPAIGN,ретаргетинг - мастерслух,5.92,0,0,0,0,--,--,--,--,--,--,--,--
