Date,AdNetworkType,CampaignName,AdFormat,AdId,Slot,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Conversions_301649121_FCCD,Conversions_301649121_AUTO,Conversions_301314275_FCCD,Conversions_301314275_AUTO,Conversions_301313194_FCCD,Conversions_301313194_AUTO,Conversions_301315472_FCCD,Conversions_301315472_AUTO
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280299,PREMIUMBLOCK,0.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,ALONE,0.93,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,PREMIUMBLOCK,1.84,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,OTHER,1,1,0,0,10.64,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,OTHER,1.08,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,PREMIUMBLOCK,0.8,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,SUGGEST,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280298,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280299,OTHER,0.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280299,PREMIUMBLOCK,0.77,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280325,PREMIUMBLOCK,0.69,1,0,0,7.95,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280337,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280338,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,PREMIUMBLOCK,1.04,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395292,OTHER,1.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,OTHER,1.34,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395293,PREMIUMBLOCK,7.66,1,2,1,52.29,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395294,OTHER,0.26,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722249,PREMIUMBLOCK,0.8,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722258,OTHER,0.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Батарейки. ТГ,TEXT,14463722259,PREMIUMBLOCK,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14382201681,PREMIUMBLOCK,2.82,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280307,PREMIUMBLOCK,1.03,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280316,PREMIUMBLOCK,1.27,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280317,PREMIUMBLOCK,1.1,1,2,0,65.16,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280323,PREMIUMBLOCK,1.09,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280340,PREMIUMBLOCK,3.94,1,0,0,27.66,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280341,PREMIUMBLOCK,1.78,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,TEXT,14430280342,PREMIUMBLOCK,0.78,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,--,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395289,PREMIUMBLOCK,1.04,1,1,1,67.67,--,--,--,--,--,--,--,--
2023-06-29,SEARCH,[поиск] Бренд. ТГ,TEXT,14432395290,ALONE,0.92,0,0,0,0,--,--,--,--,--,--,--,--
