Date,AdNetworkType,CampaignName,LocationOfPresenceName,Device,Gender,Age,IncomeGrade,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Conversions_301649121_FCCD,Conversions_301649121_AUTO,Conversions_301314275_FCCD,Conversions_301314275_AUTO,Conversions_301313194_FCCD,Conversions_301313194_AUTO,Conversions_301315472_FCCD,Conversions_301315472_AUTO
2023-06-27,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,0.68,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_35_44,OTHER,2.77,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,0.88,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_0_17,OTHER,0,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-27,SEARCH,[поиск] Бренд. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_25_34,HIGH,1,1,0,0,10.64,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,0.17,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_45_54,OTHER,0.69,1,0,0,7.95,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,1,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.02,0,0,0,0,--,--,--,--,--,--,--,--
2023-06-28,SEARCH,[поиск] Бренд. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,1.04,0,0,0,0,--,--,--,--,--,--,--,--
