Date,AdNetworkType,Device,CampaignId,CampaignName,AdGroupName,AdGroupId,AdId,Cost,Impressions,Clicks,Sessions,Bounces,Conversions_285608565_AUTO,Conversions_260822790_AUTO,Conversions_260822845_AUTO,Conversions_257359290_AUTO,Conversions_256317730_AUTO,Conversions_258739012_AUTO
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694864,0,2,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694866,0,2,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694867,0,1,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694868,0,23,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699463,0,4,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699467,0,2,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699469,21.48,32,1,1,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953532,0,2,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,DESKTOP,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953534,1.04,87,1,1,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694866,28.97,14,2,2,0,--,1,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694867,0,1,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694868,0,37,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,тд мтз,5403816797,15850694869,0,1,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699464,0,6,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699466,10.9,6,1,1,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699470,0,11,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107567069,рся \ тд-мтз \ юг,субсидия,5405820959,15862699471,10.17,5,1,1,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953530,0,4,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953531,0,1,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953532,0,14,0,0,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953533,46.05,124,3,5,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953534,7.91,17,1,1,0,--,--,--,--,--,--
2024-04-01,AD_NETWORK,MOBILE,107568650,рся \ тд-мтз \ поволжье,тд мтз,5403829399,15850953535,0,26,0,0,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,главная,5409189153,15883344937,44.38,6,1,1,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,главная,5409189153,15883344938,73.35,11,2,2,1,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,главная,5409189153,15883344939,105.14,7,2,4,2,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,тракторы,5409189155,15883344942,72.79,5,1,1,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,тракторы,5409189155,15883344943,140.8,36,5,4,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,тракторы,5409189155,15883344944,0,4,0,0,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,малогабаритная техника,5409189157,15883344947,0,4,0,0,0,--,--,--,--,--,--
2024-04-01,SEARCH,DESKTOP,107880029,поиск \ техника мтз \ регионы,малогабаритная техника,5409189157,15883344948,82.28,16,3,3,0,--,--,--,--,--,--
