Date,AdNetworkType,Device,CampaignId,CampaignName,AdGroupName,AdGroupId,AdId,Cost,Impressions,Clicks,Sessions,Bounces,Calls,JS_Mes,JS_Leads,Forms,EM_Copy,EM_Click,Goals
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454375,0,4,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,12.19,1060,2,1,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,27.11,1299,1,1,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,42.77,362,2,2,1,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731883,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,DESKTOP,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731885,0,11,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454376,6.08,188,1,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454377,189.7,2650,12,25,6,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454382,0,16,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454383,0,11,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,454.41,4692,29,27,14,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,MOBILE,98456374,рся \ субсидия \ авто,субсидия,5310156372,15595731884,0,26,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454380,0,9,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198454381,0,90,0,0,0,0,0,0,0,0,0,0
2024-01-09,AD_NETWORK,TABLET,98456374,рся \ субсидия \ авто,субсидия,5310156372,15198539873,2.74,130,1,1,1,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,каталог мтз,5365161817,15590141117,0,3,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141118,64.42,2,2,1,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141119,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141122,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141126,30.87,5,1,1,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141128,0,2,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141130,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141145,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141146,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141149,0,4,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141150,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,DESKTOP,103837418,поиск \ тракторы \ авто,ретаргетинг - субсидия,5365161824,15590141156,54.94,5,1,1,1,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141120,203.44,19,8,7,1,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,новые мтз,5365161818,15590141121,0,5,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141123,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141125,56.98,13,2,3,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141127,32.8,23,1,1,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа мтз,5365161819,15590141129,22.18,12,1,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141135,18.53,1,1,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,краснодар мтз,5365161820,15590141136,0,1,0,0,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141147,59.09,15,2,2,0,0,0,0,0,0,0,0
2024-01-09,SEARCH,MOBILE,103837418,поиск \ тракторы \ авто,продажа тракторов беларус,5365161823,15590141148,41.54,10,2,2,0,0,0,0,0,0,0,0
