Date,Calls,B24,Forms,EMails,Goals,page2,page3,page4,min3,min6,min8,dl1,dl2,dl3,dl4,dl5,dl6,dl7,dl8,dl9,dl10
2024-01-10,2,0,2,0,4,,,,,,,,,,,,,,,,
2024-01-11,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-01-15,0,0,3,0,3,1,1,,,,,1,1,1,1,1,,,,,
2024-01-16,0,1,0,1,2,,,,,,,,,,,,,,,,
2024-01-17,1,0,0,0,1,,,,,,,,,,,,,,,,
2024-01-18,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-01-19,0,0,1,0,1,,,,,,,,,,,,,,,,
2024-01-20,2,1,0,0,3,,,,,,,,,,,,,,,,
2024-01-22,1,0,0,0,1,,,,,,,,,,,,,,,,
2024-01-23,2,0,0,0,2,1,1,,,,,1,1,1,1,1,1,1,,,
2024-01-24,1,0,0,0,1,2,,,,,,,,,,,,,,,
2024-01-25,0,0,1,0,1,,,,,,,,,,,,,,,,
2024-01-26,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-01-28,0,2,0,0,2,,,,1,,,,,,,,,,,,
2024-01-29,4,0,0,0,4,1,1,1,,,,1,1,1,1,1,1,1,1,1,1
2024-01-30,,,,,,,,,1,1,1,1,1,,,,,,,,
2024-02-01,1,1,0,0,2,,,,,,,,,,,,,,,,
2024-02-03,,,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1
2024-02-05,1,0,2,0,3,,,,,,,,,,,,,,,,
2024-02-06,1,1,0,0,2,,,,,,,,,,,,,,,,
2024-02-07,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-02-08,1,0,0,0,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2024-02-09,0,1,0,0,1,,,,2,,,,,,,,,,,,
2024-02-11,0,1,0,0,1,,,,4,,,,,,,,,,,,
2024-02-12,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-02-13,0,0,0,1,1,,,,,,,,,,,,,,,,
2024-02-15,0,1,1,7,9,6,3,1,6,6,3,10,8,7,7,7,7,6,5,5,5
2024-02-16,1,0,0,1,2,1,1,,,,,1,1,1,1,1,1,1,1,1,
2024-02-17,0,1,0,0,1,,,,,,,,,,,,,,,,
2024-02-19,,,,,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
2024-02-20,,,,,,,,,2,2,1,,,,,,,,,,
2024-02-21,1,0,0,0,1,,,,5,4,4,2,1,1,1,,,,,,
2024-02-22,,,,,,,,,3,1,1,,,,,,,,,,
2024-02-23,,,,,,5,1,,17,7,6,,,,,,,,,,
2024-02-24,,,,,,21,2,,62,19,16,6,3,2,2,2,2,2,1,1,1
2024-02-25,1,1,0,0,2,10,2,2,35,12,8,16,9,6,5,4,4,3,3,3,3
2024-02-26,,,,,,9,1,,53,20,16,19,10,6,6,5,2,2,2,2,1
2024-02-27,,,,,,8,4,2,2,1,1,18,12,12,8,5,3,2,2,2,2
2024-02-28,1,0,0,0,1,9,5,3,7,4,2,27,21,15,10,7,6,4,2,2,2
2024-02-29,1,1,0,0,2,7,4,1,12,4,3,15,11,8,6,3,3,3,3,3,2
2024-03-01,4,0,0,0,4,17,7,3,20,9,7,45,30,25,19,15,10,7,7,3,3
2024-03-02,,,,,,18,5,3,23,10,8,45,27,19,15,9,8,6,6,4,4
2024-03-03,0,2,0,0,2,9,2,2,16,8,4,18,10,9,7,6,5,5,3,3,3
2024-03-04,1,0,0,0,1,21,6,3,20,6,5,48,30,22,19,14,8,7,6,6,6
